"sku","pos_product_id","name","category","subcategory","ecommerce_image_url","pos_current_image_url","action"
"CAS-EMP-CAM-QUE-GRA","126","CamarÃ³n Queso Grande","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-camaron-queso.webp","","update_pos_image_url"
"CAS-EMP-CAM-QUE-MED","125","CamarÃ³n Queso Mediana","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-camaron-queso.webp","","update_pos_image_url"
"CAS-EMP-CHAM-QUE-GRA","132","ChampiÃ±Ã³n Queso Grande","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-queso-champinon.webp","","update_pos_image_url"
"CAS-EMP-CHAM-QUE-MED","131","ChampiÃ±Ã³n Queso Mediana","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-queso-champinon.webp","","update_pos_image_url"
"CAS-EMP-JAM-QUE-GRA","134","JamÃ³n Queso Grande","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-jamon-queso.webp","","update_pos_image_url"
"CAS-EMP-JAM-QUE-MED","133","JamÃ³n Queso Mediana","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-jamon-queso.webp","","update_pos_image_url"
"CAS-EMP-NAPO-GRA","130","Napolitana Grande","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-napolitana.webp","","update_pos_image_url"
"CAS-EMP-NAPO-MED","129","Napolitana Mediana","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-napolitana.webp","","update_pos_image_url"
"CAS-EMP-QUESO-GRA","124","Queso grande","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-queso.webp","","update_pos_image_url"
"CAS-EMP-QUESO-HOJA","142","Queso de Hoja","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-queso.webp","","update_pos_image_url"
"CAS-EMP-QUESO-MED","123","Queso mediana","casera","empanadas","https://cdn.yakero.cl/products/casera/empanadas/empanada-queso.webp","","update_pos_image_url"
"SAND-LOM-BAR-LUC","84","Lomo Barros Luco","sandwich","Lomo","https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-luco.webp","","update_pos_image_url"
"SAND-LOM-CHAC","86","Lomo Chacarero","sandwich","Lomo","https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-chacarero.webp","","update_pos_image_url"
"SAND-LOM-COMP","85","Lomo Completo","sandwich","Lomo","https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-completo.webp","","update_pos_image_url"
"SAND-LOM-DINA","88","Lomo DinÃ¡mico","sandwich","Lomo","https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-dinamico.webp","","update_pos_image_url"
"SAND-LOM-ITAL","83","Lomo Italiano","sandwich","Lomo","https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-italiano.webp","","update_pos_image_url"
"SAND-LOM-SOLO","82","Lomo Solo","sandwich","Lomo","https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo.webp","","update_pos_image_url"
