sku,name,category,subcategory,image_url
CAS-EMP-CAM-QUE-GRA,Camarón Queso Grande,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-camaron-queso.webp
CAS-EMP-CAM-QUE-MED,Camarón Queso Mediana,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-camaron-queso.webp
CAS-EMP-CHAM-QUE-GRA,Champiñón Queso Grande,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-queso-champinon.webp
CAS-EMP-CHAM-QUE-MED,Champiñón Queso Mediana,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-queso-champinon.webp
CAS-EMP-JAM-QUE-GRA,Jamón Queso Grande,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-jamon-queso.webp
CAS-EMP-JAM-QUE-MED,Jamón Queso Mediana,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-jamon-queso.webp
CAS-EMP-NAPO-GRA,Napolitana Grande,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-napolitana.webp
CAS-EMP-NAPO-MED,Napolitana Mediana,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-napolitana.webp
CAS-EMP-POL-QUE-GRA,Pollo Queso Grande,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-pollo-queso-oregano.webp
CAS-EMP-POL-QUE-MED,Pollo Queso Mediana,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-pollo-queso-oregano.webp
CAS-EMP-QUESO-HOJA,Queso de Hoja,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-queso.webp
CAS-EMP-QUESO-GRA,Queso grande,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-queso.webp
CAS-EMP-QUESO-MED,Queso mediana,casera,empanadas,https://cdn.yakero.cl/products/casera/empanadas/empanada-queso.webp
