sku,product_name,product_category,product_subcategory,image_file,image_path,cdn_path,image_url,match_type,assignment_source
CAS-ACOMP-ARROZ,Arroz,casera,acompañamiento,arroz.webp,imagenes-yakero/casera/acompañamientos/arroz.png,products/casera/acompanamientos/arroz.webp,https://cdn.yakero.cl/products/casera/acompanamientos/arroz.webp,name_exact,audit_csv
CAS-ACOMP-ENS-MIXTA,Ensalada Mixta,casera,acompañamiento,ensalada-mixta.webp,imagenes-yakero/casera/acompañamientos/ensalada-mixta.png,products/casera/acompanamientos/ensalada-mixta.webp,https://cdn.yakero.cl/products/casera/acompanamientos/ensalada-mixta.webp,name_exact,audit_csv
CAS-ACOMP-PURE,Puré,casera,acompañamiento,pure.webp,imagenes-yakero/casera/acompañamientos/pure.png,products/casera/acompanamientos/pure.webp,https://cdn.yakero.cl/products/casera/acompanamientos/pure.webp,name_exact,audit_csv
CAS-ACOMP-TALLARINES,Tallarines,casera,acompañamiento,tallarines.webp,imagenes-yakero/casera/acompañamientos/tallarines.png,products/casera/acompanamientos/tallarines.webp,https://cdn.yakero.cl/products/casera/acompanamientos/tallarines.webp,name_exact,audit_csv
CAS-MENU-ACELGA-CREMA,Acelga a la Crema,casera,menu,acelga-crema.webp,imagenes-yakero/casera/menu/acelga-crema.png,products/casera/menu/acelga-crema.webp,https://cdn.yakero.cl/products/casera/menu/acelga-crema.webp,partial_candidate,audit_csv
CAS-MENU-ALBOND-SALSA,Albóndigas en Salsa,casera,menu,albondigas.webp,imagenes-yakero/casera/menu/albondigas.png,products/casera/menu/albondigas.webp,https://cdn.yakero.cl/products/casera/menu/albondigas.webp,partial_candidate,audit_csv
CAS-MENU-CHARQUI-HUEVO,Charquicán con Huevo,casera,menu,charquican.webp,imagenes-yakero/casera/menu/charquican.png,products/casera/menu/charquican.webp,https://cdn.yakero.cl/products/casera/menu/charquican.webp,partial_candidate,audit_csv
CAS-MENU-CONSOME-POLLO,Consomé de Pollo,casera,menu,consome-pollo.webp,imagenes-yakero/casera/menu/consome-pollo.png,products/casera/menu/consome-pollo.webp,https://cdn.yakero.cl/products/casera/menu/consome-pollo.webp,partial_candidate,audit_csv
CAS-MENU-ENS-CESAR,Ensalada Cesar,casera,menu,ensalada-cesar.webp,imagenes-yakero/casera/menu/ensalada-cesar.png,products/casera/menu/ensalada-cesar.webp,https://cdn.yakero.cl/products/casera/menu/ensalada-cesar.webp,name_exact,audit_csv
CAS-MENU-GOHAN-MIXTO,Gohan Mixto,casera,menu,gohan-mixto.webp,imagenes-yakero/casera/menu/gohan-mixto.png,products/casera/menu/gohan-mixto.webp,https://cdn.yakero.cl/products/casera/menu/gohan-mixto.webp,name_exact,audit_csv
CAS-MENU-HUMITA,Humita,casera,menu,humita.webp,imagenes-yakero/casera/menu/humita.png,products/casera/menu/humita.webp,https://cdn.yakero.cl/products/casera/menu/humita.webp,name_exact,audit_csv
CAS-MENU-LENTEJ-CARNE,Lentejas con Carne Molida,casera,menu,lentejas.webp,imagenes-yakero/casera/menu/lentejas.png,products/casera/menu/lentejas.webp,https://cdn.yakero.cl/products/casera/menu/lentejas.webp,partial_candidate,audit_csv
CAS-MENU-LOMITO-CERDO-PLAN,Lomito de Cerdo a la Plancha,casera,menu,lomito-cerdo.webp,imagenes-yakero/casera/menu/lomito-cerdo.png,products/casera/menu/lomito-cerdo.webp,https://cdn.yakero.cl/products/casera/menu/lomito-cerdo.webp,partial_candidate,audit_csv
CAS-MENU-MERLUZA-APAN,Merluza Apanada,casera,menu,merluza-apanada.webp,imagenes-yakero/casera/menu/merluza-apanada.png,products/casera/menu/merluza-apanada.webp,https://cdn.yakero.cl/products/casera/menu/merluza-apanada.webp,name_exact,audit_csv
CAS-MENU-PASTEL-PAPAS,Pastel de Papas,casera,menu,pastel-papas.webp,imagenes-yakero/casera/menu/pastel-papas.png,products/casera/menu/pastel-papas.webp,https://cdn.yakero.cl/products/casera/menu/pastel-papas.webp,partial_candidate,audit_csv
CAS-MENU-PECHUGA-PAVO,Pechuga de Pavo,casera,menu,pechuga-pavo.webp,imagenes-yakero/casera/menu/pechuga-pavo.png,products/casera/menu/pechuga-pavo.webp,https://cdn.yakero.cl/products/casera/menu/pechuga-pavo.webp,partial_candidate,audit_csv
CAS-MENU-POLLO-AS-ENT,Pollo Asado Entero,casera,menu,pollo-asado.webp,imagenes-yakero/casera/menu/pollo-asado.png,products/casera/menu/pollo-asado.webp,https://cdn.yakero.cl/products/casera/menu/pollo-asado.webp,partial_candidate,audit_csv
CAS-MENU-POROTOS-GRAN,Porotos Granados,casera,menu,porotos-granados.webp,imagenes-yakero/casera/menu/porotos-granados.png,products/casera/menu/porotos-granados.webp,https://cdn.yakero.cl/products/casera/menu/porotos-granados.webp,name_exact,audit_csv
